Unnamed: 0,daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted
127,3,20,0,1,50,0,20,9,0,22,not addicted
128,4,37,2,0,45,0,47,4,0,28,not addicted
130,5,23,2,2,74,0,38,4,8,32,addicted
137,5,23,1,0,53,1,31,5,3,24,not addicted
139,5,26,3,0,55,1,29,6,7,37,addicted
140,3,22,0,0,40,0,32,6,5,33,not addicted
143,3,25,1,0,40,1,37,9,2,32,not addicted
144,2,33,0,0,42,1,39,10,4,27,not addicted
145,6,26,5,0,89,1,38,9,8,21,addicted
146,2,33,1,0,49,0,34,3,0,26,not addicted
149,5,21,1,1,38,1,31,8,2,22,not addicted
150,7,33,3,2,81,2,41,6,6,29,addicted
151,6,28,0,0,49,1,44,8,6,30,not addicted
154,5,28,0,2,41,0,43,8,3,17,not addicted
155,3,23,0,1,61,0,42,7,4,25,not addicted
156,3,19,0,1,51,1,42,3,5,20,not addicted
158,8,29,3,1,71,1,40,7,6,29,addicted
159,5,40,1,3,60,1,20,6,5,30,addicted
161,4,25,2,1,53,0,40,6,4,31,not addicted
162,7,32,2,1,75,1,37,4,6,28,addicted
163,4,26,2,0,59,0,21,3,1,28,not addicted
164,2,24,0,0,45,0,32,3,0,29,not addicted
165,6,25,2,0,36,1,43,5,5,25,not addicted
166,2,23,1,0,48,1,48,6,2,24,not addicted
169,2,36,1,0,56,1,47,6,0,25,not addicted
171,4,23,1,0,45,0,29,7,5,21,not addicted
177,6,34,0,1,56,0,37,7,5,26,not addicted
178,5,34,2,0,67,2,23,6,6,30,addicted
180,7,35,3,0,66,2,22,4,5,32,addicted
181,4,37,0,2,52,0,36,7,1,25,not addicted
182,2,33,1,0,32,1,36,7,0,36,not addicted
186,7,42,4,0,75,0,29,5,7,27,addicted
188,4,27,1,3,54,0,36,10,2,30,not addicted
189,6,40,3,1,62,1,26,7,7,42,addicted
190,4,23,0,0,52,0,23,7,5,15,not addicted
191,6,25,1,1,54,1,27,5,6,27,not addicted
192,5,31,1,3,66,1,28,4,4,27,addicted
193,5,28,1,1,54,0,48,8,3,21,not addicted
195,1,21,1,0,52,0,38,6,2,17,not addicted
196,5,28,0,1,52,0,20,6,5,35,not addicted
201,3,28,3,0,64,0,30,8,1,25,not addicted
202,6,45,1,3,87,1,18,7,4,35,addicted
207,3,30,0,0,51,1,48,7,6,18,not addicted
208,3,28,1,0,54,1,48,9,3,31,not addicted
209,4,25,2,1,50,0,38,9,2,25,not addicted
212,6,41,3,2,73,1,21,3,9,34,addicted
215,6,34,3,2,80,1,15,7,6,25,addicted
218,3,24,2,1,55,0,44,6,2,34,not addicted
220,6,29,2,2,74,2,32,7,3,24,addicted
221,6,37,2,0,68,3,41,7,8,38,addicted
222,4,26,0,0,38,0,34,8,4,24,not addicted
226,5,22,1,1,54,1,53,10,1,28,not addicted
229,6,41,3,0,72,1,20,7,8,26,addicted
231,4,21,0,1,46,0,32,7,6,28,not addicted
234,3,22,2,0,45,0,42,8,3,25,not addicted
235,5,32,1,2,76,1,41,6,7,26,addicted
236,4,47,2,1,64,1,37,4,4,25,addicted
238,7,34,2,1,42,1,34,7,0,23,not addicted
239,6,23,1,1,58,1,28,7,0,35,not addicted
243,8,38,2,2,69,2,31,6,2,34,addicted
244,5,41,0,2,63,3,40,6,8,29,addicted
245,5,26,4,0,74,0,41,5,6,39,addicted
247,3,32,0,0,56,1,51,5,1,21,not addicted
248,5,40,3,0,63,2,36,5,4,29,addicted
249,5,25,0,1,46,0,42,2,5,29,not addicted
251,4,31,2,0,77,2,42,4,8,30,addicted
254,4,42,1,2,64,1,36,6,8,33,addicted
255,5,31,3,2,78,0,19,6,7,32,addicted
257,2,35,1,1,55,0,26,5,1,25,not addicted
259,2,27,1,0,57,0,44,9,0,34,not addicted
261,7,32,1,0,75,3,19,5,3,27,addicted
264,2,20,0,0,49,0,20,10,5,26,not addicted
266,2,27,0,0,69,0,45,4,0,17,not addicted
267,2,15,1,0,50,1,47,3,0,29,not addicted
268,3,29,1,1,48,0,30,8,4,18,not addicted
269,0,24,0,0,42,0,49,6,3,23,not addicted
273,7,38,1,2,86,1,22,3,8,30,addicted
274,5,35,3,0,59,2,34,5,5,28,addicted
275,3,31,1,0,45,0,40,8,6,21,not addicted
284,4,27,2,0,49,1,22,3,5,17,not addicted
290,2,14,0,0,53,1,21,6,5,22,not addicted
292,4,30,2,0,51,2,26,8,0,32,not addicted
295,6,31,2,0,50,0,52,6,2,27,not addicted
296,9,46,3,1,74,1,32,7,5,33,addicted
297,7,40,4,1,68,2,36,1,7,14,addicted
298,3,27,1,1,55,0,36,6,2,23,not addicted
299,6,46,1,2,81,1,24,11,2,21,addicted
300,5,27,4,0,85,1,37,4,5,28,addicted
303,4,35,0,2,48,0,48,4,5,30,not addicted
307,4,31,1,1,59,0,48,11,1,29,not addicted
308,6,16,1,1,46,0,54,8,3,17,not addicted
309,6,27,1,2,51,0,21,7,6,17,not addicted
310,2,16,0,0,47,0,42,6,0,21,not addicted
312,6,27,0,4,72,1,28,5,7,37,addicted
314,4,26,1,0,55,0,44,10,2,26,not addicted
317,4,39,2,2,74,0,26,4,7,30,addicted
320,7,26,1,1,53,4,16,8,7,32,addicted
322,6,32,1,2,77,1,44,2,8,27,addicted
324,4,23,0,1,47,1,26,9,1,17,not addicted
326,6,39,2,1,61,1,17,5,3,31,addicted
332,7,41,3,1,89,3,37,7,6,32,addicted
336,4,22,1,1,56,0,26,9,6,20,not addicted
338,8,30,4,1,70,0,30,7,5,31,addicted
339,3,19,0,0,34,1,40,1,3,19,not addicted
342,4,26,2,1,43,0,29,7,2,31,not addicted
343,9,43,4,1,72,1,19,5,5,28,addicted
344,4,37,0,2,65,2,16,9,6,25,addicted
345,3,23,1,0,46,0,49,1,3,28,not addicted
346,4,33,0,1,65,3,36,4,7,31,addicted
348,3,30,0,0,35,1,32,3,1,31,not addicted
350,6,18,2,1,46,2,51,7,1,25,not addicted
351,3,30,0,0,57,1,49,5,4,30,not addicted
356,4,32,3,0,66,1,27,3,4,27,addicted
357,5,16,1,0,51,1,44,11,2,23,not addicted
360,4,20,1,2,52,0,37,7,4,27,not addicted
361,4,20,0,0,52,0,29,6,2,20,not addicted
362,3,28,1,0,49,1,29,6,3,16,not addicted
363,5,26,3,2,43,0,49,5,6,22,not addicted
364,8,27,2,1,58,2,18,4,4,27,addicted
366,4,30,2,0,38,1,50,7,0,25,not addicted
367,6,45,1,1,75,3,39,4,3,35,addicted
368,7,29,2,3,63,1,16,4,7,45,addicted
369,5,36,1,3,64,0,17,2,3,23,addicted
374,2,20,0,0,51,0,42,11,3,20,not addicted
375,4,21,0,0,64,0,44,8,4,24,not addicted
376,2,25,1,0,50,1,25,8,2,20,not addicted
378,1,39,1,0,41,0,33,7,1,24,not addicted
381,9,23,1,1,57,1,45,6,5,22,not addicted
387,7,18,1,0,42,0,31,8,2,23,not addicted
390,6,31,1,2,70,3,26,9,7,33,addicted
391,5,31,3,2,57,0,16,9,5,35,addicted
393,3,27,1,1,35,1,41,5,1,22,not addicted
394,8,27,2,0,52,0,26,6,5,22,not addicted
397,4,28,2,0,61,0,39,4,2,26,not addicted
398,5,19,0,1,48,1,42,6,3,32,not addicted
399,3,26,1,0,43,0,38,7,2,32,not addicted
402,5,28,2,1,67,1,31,4,8,26,addicted
404,3,14,0,1,50,2,19,7,6,27,not addicted
406,4,28,0,1,49,0,47,8,6,27,not addicted
407,6,45,2,2,71,2,20,2,5,37,addicted
409,8,32,4,0,67,0,39,3,5,35,addicted
412,5,22,1,0,48,0,54,9,4,24,not addicted
413,4,20,1,1,53,1,30,11,4,28,not addicted
414,3,35,0,2,52,0,20,5,4,23,not addicted
417,4,32,2,1,75,1,44,6,6,32,addicted
420,5,31,2,2,87,1,42,0,3,29,addicted
422,5,25,1,1,64,0,42,7,4,13,not addicted
425,1,28,0,0,56,0,33,9,2,25,not addicted
430,8,44,3,2,67,0,43,5,3,34,addicted
434,7,27,2,2,59,0,36,2,6,27,addicted
437,7,41,6,0,62,1,25,4,3,28,addicted
438,0,36,0,0,54,0,39,4,5,22,not addicted
440,4,22,0,0,48,0,51,8,1,24,not addicted
441,5,41,1,2,65,2,29,3,6,30,addicted
442,5,28,1,1,50,1,27,6,2,29,not addicted
444,7,23,3,1,53,1,38,6,4,22,not addicted
447,6,24,0,1,48,1,45,6,2,29,not addicted
448,8,32,2,2,67,2,43,3,8,25,addicted
451,6,33,1,2,72,2,32,5,9,29,addicted
452,6,35,1,2,77,2,41,5,5,29,addicted
455,5,35,4,1,69,0,42,3,4,32,addicted
457,6,36,2,0,54,2,21,5,4,29,addicted
458,4,25,2,1,54,0,40,9,0,21,not addicted
459,7,32,0,4,66,0,42,8,7,33,addicted
462,4,25,1,0,40,1,32,6,4,22,not addicted
463,4,24,2,2,40,0,34,6,5,23,not addicted
465,7,32,0,3,79,2,36,9,8,19,addicted
469,4,19,1,2,52,1,41,4,1,26,not addicted
471,5,27,1,2,52,1,36,5,4,28,not addicted
472,2,26,2,0,51,0,35,6,3,22,not addicted
473,4,18,1,1,52,0,37,7,3,26,not addicted
474,4,28,0,1,50,0,35,4,1,27,not addicted
476,4,22,2,1,48,0,47,6,4,25,not addicted
478,7,42,2,2,62,1,41,7,2,21,addicted
481,2,23,1,0,53,1,43,5,5,21,not addicted
482,3,26,0,1,48,2,45,4,4,30,not addicted
483,3,22,0,0,51,1,51,2,0,26,not addicted
484,2,31,0,0,31,0,27,4,0,24,not addicted
490,5,36,1,1,82,2,18,7,8,16,addicted
491,2,17,1,0,43,0,28,7,3,26,not addicted
494,2,29,2,0,58,0,49,8,6,19,not addicted
496,2,21,0,0,53,1,38,8,6,17,not addicted
497,3,25,0,0,59,2,27,8,5,19,not addicted
500,2,25,1,0,45,0,38,9,4,24,not addicted
501,6,31,1,0,66,3,40,6,5,24,addicted
503,5,35,3,0,72,1,32,5,4,31,addicted
505,5,33,0,3,54,2,33,8,8,30,addicted
509,3,24,0,3,45,0,42,7,4,25,not addicted
513,7,38,3,2,63,0,20,7,6,38,addicted
514,4,25,0,1,55,2,24,8,3,25,not addicted
516,6,22,2,0,57,0,50,12,2,24,not addicted
518,3,15,1,1,60,0,22,8,1,25,not addicted
520,4,19,1,1,43,0,27,5,0,21,not addicted
522,4,35,3,1,63,0,34,5,5,26,addicted
524,2,22,1,1,52,0,42,5,0,18,not addicted
525,4,31,1,1,54,1,41,5,2,23,not addicted
526,4,37,2,1,78,1,41,8,6,42,addicted
527,5,35,1,0,73,3,31,5,7,28,addicted
528,5,20,2,0,41,1,39,5,3,18,not addicted
530,3,28,1,0,42,0,48,2,3,18,not addicted
531,4,22,1,1,46,0,40,6,2,25,not addicted
533,6,23,1,1,55,0,51,5,3,28,not addicted
534,7,37,0,1,75,3,38,2,3,24,addicted
536,5,28,0,0,50,0,24,5,6,31,not addicted
538,8,29,2,2,83,2,44,7,6,31,addicted
541,2,30,1,0,54,0,46,6,2,19,not addicted
542,4,30,0,1,46,0,25,5,2,26,not addicted
543,5,25,3,2,50,0,20,6,3,24,not addicted
547,4,33,1,0,49,0,48,3,5,17,not addicted
548,2,25,0,0,31,1,27,3,2,16,not addicted
549,3,24,1,1,42,0,35,5,0,28,not addicted
551,2,20,1,0,50,1,34,9,4,23,not addicted
554,3,26,2,0,46,1,50,5,2,21,not addicted
558,3,22,0,0,52,2,43,3,5,27,not addicted
561,2,30,0,1,52,0,52,7,0,24,not addicted
563,5,43,3,0,62,2,39,8,3,25,addicted
565,9,35,2,0,62,2,39,6,3,29,addicted
569,5,28,1,1,65,2,30,6,5,25,addicted
571,5,23,1,1,38,1,51,4,4,14,not addicted
573,8,46,2,1,68,1,15,8,2,26,addicted
575,5,33,2,2,58,0,37,5,8,35,addicted
576,9,40,0,3,79,4,31,5,5,27,addicted
577,6,26,2,1,53,2,19,5,6,22,addicted
578,4,21,0,2,47,0,42,7,7,30,not addicted
579,5,24,3,1,52,0,23,7,4,26,not addicted
580,5,22,0,0,55,0,35,10,3,29,not addicted
584,7,32,1,3,58,1,26,4,4,25,addicted
586,5,23,2,0,50,0,28,6,5,24,not addicted
587,6,41,2,1,87,2,16,7,2,29,addicted
588,3,22,1,1,50,0,40,5,3,30,not addicted
589,5,36,2,0,59,3,19,5,2,29,addicted
593,5,30,3,0,57,1,18,4,7,26,addicted
596,6,25,0,1,54,0,31,7,0,15,not addicted
604,7,37,2,1,66,4,40,7,3,29,addicted
606,6,23,2,0,47,1,46,8,5,23,not addicted
607,5,23,1,1,41,0,38,10,0,24,not addicted
610,2,22,0,1,47,0,40,7,4,19,not addicted
612,2,28,1,0,55,0,25,6,5,41,not addicted
615,7,26,3,3,83,1,33,4,6,24,addicted
617,3,19,0,1,43,0,32,5,3,22,not addicted
618,6,24,1,2,44,1,46,2,7,22,not addicted
623,5,39,2,1,76,2,30,6,3,34,addicted
626,3,30,0,0,33,0,33,5,0,29,not addicted
631,5,21,2,0,52,0,26,6,1,26,not addicted
633,3,21,0,0,63,1,51,8,5,28,not addicted
637,2,24,2,0,54,0,38,5,1,24,not addicted
640,4,22,2,1,44,0,51,5,6,14,not addicted
645,6,34,2,2,79,0,18,4,9,40,addicted
646,7,23,1,0,55,0,37,10,5,32,not addicted
647,9,35,1,2,59,1,34,3,4,31,addicted
650,5,37,3,1,68,1,35,5,4,30,addicted
652,5,23,0,0,53,0,32,8,4,25,not addicted
654,4,20,0,1,50,0,25,9,6,28,not addicted
655,8,37,4,1,63,1,23,3,5,36,addicted
659,6,32,1,0,51,0,35,7,2,26,not addicted
664,2,20,1,1,50,0,38,4,0,21,not addicted
668,1,27,0,0,57,1,36,5,6,22,not addicted
672,4,35,2,2,69,0,19,5,8,24,addicted
673,8,42,3,1,68,0,15,7,8,29,addicted
674,5,14,2,1,50,1,35,6,4,22,not addicted
679,3,25,1,0,49,1,38,10,4,28,not addicted
680,3,36,0,0,49,0,26,6,1,19,not addicted
681,4,20,0,2,51,0,28,9,5,24,not addicted
682,4,41,1,1,66,2,23,9,4,41,addicted
683,4,32,1,0,53,0,33,8,1,24,not addicted
684,3,15,2,0,52,0,28,6,6,25,not addicted
687,4,32,1,0,53,1,41,5,2,21,not addicted
689,3,30,1,0,51,1,41,5,5,14,not addicted
690,6,30,2,2,69,1,23,3,3,38,addicted
696,4,21,0,2,47,1,21,8,0,19,not addicted
697,0,21,0,0,43,0,27,8,4,27,not addicted
701,2,19,1,0,56,1,30,7,0,26,not addicted
702,1,29,0,1,40,0,42,7,6,27,not addicted
704,4,33,0,1,48,0,24,8,2,25,not addicted
707,3,23,2,0,35,0,52,9,0,16,not addicted
708,4,30,3,0,42,0,32,5,5,21,not addicted
710,4,28,3,0,85,1,24,5,7,33,addicted
714,6,27,1,1,47,0,34,8,2,25,not addicted
715,5,35,1,2,81,2,39,5,4,37,addicted
716,3,36,2,0,50,0,52,10,4,16,not addicted
720,5,28,0,1,49,1,26,6,2,37,not addicted
725,1,21,0,1,45,0,50,5,0,26,not addicted
726,4,32,2,0,62,2,16,6,7,27,addicted
728,3,24,0,1,44,1,29,10,4,26,not addicted
732,5,30,3,1,73,1,34,7,6,37,addicted
733,0,24,0,0,48,0,33,7,3,22,not addicted
735,5,28,0,1,47,0,37,6,6,30,not addicted
737,2,24,0,1,62,1,37,10,3,24,not addicted
738,8,31,3,2,74,1,36,5,4,33,addicted
740,6,37,3,2,64,1,20,4,3,31,addicted
741,6,25,2,2,49,1,53,14,3,33,not addicted
743,4,34,2,0,64,2,34,5,7,33,addicted
748,4,51,0,2,64,2,26,10,4,30,addicted
749,6,35,3,0,88,2,28,6,2,32,addicted
752,5,31,2,1,53,0,27,9,4,35,not addicted
754,3,15,0,0,49,0,35,8,0,28,not addicted
757,1,32,0,0,40,0,53,5,1,20,not addicted
762,5,26,1,0,50,1,27,10,0,37,not addicted
764,2,29,2,0,59,0,37,6,3,29,not addicted
768,3,29,2,1,47,0,44,6,3,28,not addicted
771,4,28,0,3,54,0,49,10,5,33,not addicted
772,5,27,4,0,63,0,20,5,7,21,addicted
774,4,22,1,2,50,1,46,6,1,21,not addicted
775,4,36,0,3,63,1,33,7,5,29,addicted
776,4,20,2,1,39,0,46,5,7,17,not addicted
782,4,32,1,2,54,1,21,5,5,33,addicted
783,5,36,2,1,73,2,22,9,8,27,addicted
784,4,22,1,0,49,1,53,5,4,21,not addicted
788,5,33,3,0,57,1,44,7,5,33,addicted
789,3,25,2,0,50,1,21,7,4,27,not addicted
790,6,26,0,1,43,0,46,7,4,19,not addicted
793,3,20,1,1,52,1,23,4,4,18,not addicted
795,4,23,3,0,38,0,32,9,1,30,not addicted
797,4,26,0,0,46,0,24,3,4,23,not addicted
801,6,34,3,0,59,1,22,4,5,17,addicted
803,5,35,1,1,47,1,53,4,5,25,not addicted
804,3,41,0,1,50,1,48,8,2,23,not addicted
807,7,32,3,2,78,1,40,8,8,28,addicted
808,7,39,3,3,66,0,29,6,4,28,addicted
810,8,47,3,0,56,1,33,8,8,35,addicted
811,3,24,0,1,53,2,29,4,2,23,not addicted
812,3,31,0,1,52,1,26,5,5,22,not addicted
813,4,31,2,0,54,2,31,6,2,26,not addicted
814,6,30,0,1,61,0,33,4,5,17,not addicted
815,7,25,2,2,80,0,38,4,5,43,addicted
818,4,35,0,0,46,1,28,6,1,25,not addicted
819,4,32,2,2,63,0,27,6,5,27,addicted
820,5,46,2,1,69,1,36,7,2,24,addicted
822,6,29,2,2,77,2,26,7,9,31,addicted
825,5,26,0,0,54,0,21,3,6,27,not addicted
826,5,22,1,1,46,0,33,8,4,29,not addicted
830,5,44,1,3,73,1,18,6,6,29,addicted
833,5,30,2,1,66,2,41,8,3,25,addicted
834,7,35,2,1,71,2,41,5,3,39,addicted
837,4,27,2,0,45,0,47,8,2,23,not addicted
838,6,28,1,1,66,2,34,5,3,30,addicted
839,2,26,0,1,52,1,31,7,0,29,not addicted
841,2,13,0,1,53,1,21,8,4,28,not addicted
844,6,37,3,1,64,1,36,4,3,30,addicted
847,2,18,0,2,51,0,27,4,2,23,not addicted
848,8,30,3,1,76,1,42,6,7,18,addicted
849,3,23,1,2,47,0,19,6,1,26,not addicted
852,5,34,3,2,85,0,27,5,6,31,addicted
853,4,37,1,1,52,2,28,4,3,30,addicted
854,4,22,1,1,68,2,41,10,4,25,not addicted
856,3,25,1,1,53,1,33,7,0,32,not addicted
859,4,23,3,0,41,0,42,7,2,22,not addicted
864,4,38,1,3,84,0,24,5,3,32,addicted
865,4,28,2,1,68,1,23,7,8,29,addicted
867,6,33,1,2,80,2,18,5,4,29,addicted
868,5,34,1,2,38,2,37,8,1,27,not addicted
871,4,28,0,0,54,0,29,9,4,20,not addicted
874,3,26,0,1,55,0,43,8,3,21,not addicted
878,5,24,2,0,48,0,30,10,2,31,not addicted
879,6,34,3,1,68,1,39,6,4,33,addicted
880,5,31,0,0,44,1,47,6,0,24,not addicted
882,3,29,1,0,48,0,43,8,4,20,not addicted
883,5,33,2,2,52,1,41,6,3,25,not addicted
885,6,27,0,3,52,1,22,10,3,28,not addicted
887,3,25,1,0,56,1,33,5,0,32,not addicted
888,3,25,2,1,58,0,46,4,7,36,not addicted
889,7,23,3,0,56,1,50,5,4,22,not addicted
890,7,33,2,3,63,0,18,1,8,34,addicted
892,2,28,0,0,44,0,50,6,7,29,not addicted
894,3,20,0,2,55,0,45,9,6,26,not addicted
895,7,37,0,3,82,2,41,0,5,29,addicted
896,2,21,1,0,41,1,48,7,2,16,not addicted
898,4,24,0,1,39,2,52,5,2,25,not addicted
899,2,32,1,0,32,0,20,12,3,23,not addicted
902,8,36,2,3,66,2,35,3,5,26,addicted
903,3,26,1,1,46,0,44,6,3,23,not addicted
904,5,29,0,0,43,1,50,6,4,22,not addicted
905,5,30,3,1,76,1,16,3,7,34,addicted
908,2,19,1,0,43,0,41,6,3,17,not addicted
910,5,28,1,1,43,0,35,12,1,31,not addicted
911,4,36,3,1,93,0,22,7,7,25,addicted
915,3,25,0,0,50,0,37,7,1,28,not addicted
921,4,26,2,2,39,0,21,9,5,35,not addicted
922,4,43,3,0,74,1,24,5,6,27,addicted
923,7,42,4,2,63,0,32,7,4,30,addicted
925,2,31,0,1,43,1,22,3,0,29,not addicted
928,4,24,2,0,56,1,42,10,2,20,not addicted
929,5,30,0,1,52,0,52,9,7,28,not addicted
930,2,18,1,0,44,0,26,5,1,22,not addicted
933,5,26,0,0,56,1,32,5,1,32,not addicted
934,1,19,1,0,44,0,21,6,6,19,not addicted
935,4,19,1,0,47,2,42,4,2,31,not addicted
940,4,21,2,2,53,0,25,8,4,26,not addicted
942,6,33,2,1,79,2,35,6,2,23,addicted
943,3,20,2,0,42,1,47,6,3,25,not addicted
945,9,29,3,1,74,0,22,4,8,35,addicted
946,2,29,0,0,47,0,34,5,5,30,not addicted
952,3,26,0,0,60,1,40,6,1,24,not addicted
953,2,36,0,1,50,1,35,5,2,28,not addicted
955,5,26,1,1,49,1,24,10,1,24,not addicted
958,4,32,1,2,73,1,31,9,5,33,addicted
959,3,34,1,1,53,0,52,4,5,33,not addicted
963,4,34,3,1,60,0,43,4,7,19,addicted
965,4,37,2,1,63,1,43,3,3,40,addicted
968,5,20,0,1,47,1,45,4,5,20,not addicted
971,11,34,4,0,64,0,20,6,5,38,addicted
973,6,37,1,2,69,2,33,5,6,21,addicted
974,5,28,2,2,72,0,37,4,2,29,addicted
975,3,27,0,1,34,0,44,5,6,32,not addicted
977,8,41,2,1,63,1,30,4,8,30,addicted
978,4,15,1,0,50,0,50,8,2,21,not addicted
981,7,34,1,0,51,4,39,6,5,30,addicted
983,3,29,1,1,60,1,27,3,5,25,not addicted
984,2,20,1,1,44,0,35,5,5,26,not addicted
986,6,27,2,2,78,2,30,7,7,34,addicted
990,6,35,0,4,55,0,16,2,7,30,addicted
992,2,27,0,0,47,1,35,6,2,22,not addicted
995,4,27,1,1,54,1,23,9,2,33,not addicted
997,4,26,1,0,57,0,34,3,0,21,not addicted
999,2,16,1,0,49,0,35,8,2,20,not addicted
1001,9,31,3,3,74,1,24,8,8,27,addicted
1002,4,20,0,1,38,1,21,4,0,29,not addicted
1003,3,30,0,0,64,2,41,8,6,17,not addicted
1004,2,17,2,0,52,0,26,8,2,30,not addicted
1007,2,33,0,2,57,0,23,6,3,22,not addicted
1008,3,31,0,0,38,1,47,8,1,32,not addicted
1009,5,37,2,1,67,1,17,4,9,33,addicted
1011,4,27,0,3,49,0,29,7,1,25,not addicted
1016,4,26,1,1,52,2,54,9,2,25,not addicted
1017,2,26,0,0,54,0,37,7,2,17,not addicted
1019,5,27,0,0,47,1,40,5,4,30,not addicted
1021,5,38,3,0,71,2,25,5,6,32,addicted
1022,5,44,1,2,71,2,42,5,4,34,addicted
1024,3,21,0,1,40,0,35,7,4,29,not addicted
1028,3,26,1,0,59,1,32,6,5,25,not addicted
1029,6,34,4,0,82,0,33,4,7,26,addicted
1034,11,23,1,2,64,4,20,5,5,28,addicted
1035,6,36,2,2,84,2,36,4,3,38,addicted
1041,5,32,1,1,56,0,24,7,0,19,not addicted
1042,5,31,2,1,71,2,35,10,6,27,addicted
1043,6,40,3,3,52,0,44,0,5,40,addicted
1044,4,28,1,2,51,0,21,6,0,27,not addicted
1045,4,15,0,0,40,2,34,6,4,19,not addicted
1047,5,27,2,0,51,1,32,5,0,26,not addicted
1050,4,26,3,0,73,1,34,7,7,37,addicted
1051,3,20,1,0,45,0,38,7,6,21,not addicted
1057,5,22,0,2,41,2,47,3,5,22,not addicted
1059,5,33,0,0,60,0,20,6,6,29,not addicted
1060,4,40,2,1,75,1,18,5,6,39,addicted
1063,8,28,1,0,41,1,40,4,4,24,not addicted
1066,4,24,2,1,44,1,39,9,4,33,not addicted
1069,6,33,3,2,67,1,17,4,7,23,addicted
1070,2,30,0,1,51,0,52,4,6,25,not addicted
1076,3,27,3,0,34,0,40,11,4,20,not addicted
1080,8,28,1,0,50,1,23,4,1,28,not addicted
